"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-5571.9,-31.751,0.055407,2.4222e-05,1,0,0,-0.5,0
-5631,-70.367,-0.36855,8.9398e-05,1,0.02,0,-0.48,0
-5791.5,-117.04,-1.9943,4.1098e-05,1,0.04,0,-0.46,0
-6103.5,-148.52,-5.383,-0.00034463,1,0.06,0,-0.44,0
-6581.5,-166.51,-10.132,-0.0010624,1,0.08,0,-0.42,0
-7217.9,-175.47,-15.542,-0.0018758,1,0.1,0,-0.4,0
-7990.2,-178.79,-20.981,-0.0025212,1,0.12,0,-0.38,0
-8869.9,-178.58,-26.011,-0.0028367,1,0.14,0,-0.36,0
-9827.8,-176.05,-30.374,-0.0027797,1,0.16,0,-0.34,0
-10837,-171.9,-33.935,-0.0023901,1,0.18,0,-0.32,0
-11874,-166.59,-36.637,-0.0017465,1,0.2,0,-0.3,0
-12919,-160.43,-38.47,-0.00093536,1,0.22,0,-0.28,0
-13957,-153.66,-39.458,-3.6068e-05,1,0.24,0,-0.26,0
-14976,-146.49,-39.647,0.00088205,1,0.26,0,-0.24,0
-15969,-139.04,-39.102,0.0017611,1,0.28,0,-0.22,0
-16931,-131.44,-37.9,0.0025571,1,0.3,0,-0.2,0
-17860,-123.75,-36.129,0.0032392,1,0.32,0,-0.18,0
-18755,-116.02,-33.884,0.0037885,1,0.34,0,-0.16,0
-19615,-108.26,-31.26,0.004196,1,0.36,0,-0.14,0
-20438,-100.47,-28.354,0.0044609,1,0.38,0,-0.12,0
-21224,-92.653,-25.259,0.0045877,1,0.4,0,-0.1,0
-21969,-84.776,-22.066,0.0045857,1,0.42,0,-0.08,0
-22671,-76.819,-18.857,0.0044659,1,0.44,0,-0.06,0
-23327,-68.759,-15.715,0.0042411,1,0.46,0,-0.04,0
-23932,-60.569,-12.713,0.0039266,1,0.48,0,-0.02,0
-24482,-52.234,-9.9183,0.0035305,1,0.5,0,0,0
-24974,-43.742,-7.4125,0.0030622,1,0.52,0,0.02,0
-25405,-35.064,-5.2702,0.0025372,1,0.54,0,0.04,0
-25769,-26.181,-3.5667,0.0019681,1,0.56,0,0.06,0
-26065,-17.074,-2.3879,0.001369,1,0.58,0,0.08,0
-26288,-7.6485,-1.8319,0.00075213,1,0.6,0,0.1,0
-26443,2.2477,-2.0781,0.00013154,1,0.62,0,0.12,0
-26535,12.75,-3.2423,-0.0004721,1,0.64,0,0.14,0
-26556,24.099,-5.435,-0.0010384,1,0.66,0,0.16,0
-26495,36.705,-8.8735,-0.0015448,1,0.68,0,0.18,0
-26339,51.192,-13.769,-0.0019637,1,0.7,0,0.2,0
-26070,68.384,-20.302,-0.0022674,1,0.72,0,0.22,0
-25662,89.186,-28.536,-0.0024274,1,0.74,0,0.24,0
-25076,114.4,-38.289,-0.0024241,1,0.76,0,0.26,0
-24264,144.44,-49.05,-0.0022663,1,0.78,0,0.28,0
-23176,179.01,-59.963,-0.0020073,1,0.8,0,0.3,0
-21772,216.92,-69.892,-0.0017407,1,0.82,0,0.32,0
-20049,255.82,-77.535,-0.001581,1,0.84,0,0.34,0
-18064,292.12,-81.562,-0.001632,1,0.86,0,0.36,0
-15953,320.75,-80.762,-0.0019406,1,0.88,0,0.38,0
-13939,335.09,-74.254,-0.0024479,1,0.9,0,0.4,0
-12297,327,-61.779,-0.0029546,1,0.92,0,0.42,0
-11287,287.87,-44.236,-0.0031397,1,0.94,0,0.44,0
-11009,212.57,-24.313,-0.0026906,1,0.96,0,0.46,0
-11354,113.54,-8.395,-0.0016225,1,0.98,0,0.48,0
-11806,39.821,-0.61173,-0.00068457,1,1,0,0.5,0
