"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-23906,-13.893,-1.0268,0.54994,1,0,0,0,-0.5
-23823,-21.157,-3.2754,2.152,1,0.01,0,0,-0.49
-23745,-29.237,-6.4913,4.5703,1,0.02,0,0,-0.48
-23672,-38.491,-11.099,8.1631,1,0.03,0,0,-0.47
-23644,-45.917,-16.108,12.205,1,0.04,0,0,-0.46
-23680,-50.668,-21.706,16.904,1,0.05,0,0,-0.45
-23750,-53.95,-27.079,21.49,1,0.06,0,0,-0.44
-23871,-55.019,-32.114,25.907,1,0.07,0,0,-0.43
-24007,-55.197,-36.684,29.984,1,0.08,0,0,-0.42
-24170,-53.976,-40.525,33.527,1,0.09,0,0,-0.41
-24332,-52.304,-43.858,36.652,1,0.1,0,0,-0.4
-24496,-49.884,-46.349,39.086,1,0.11,0,0,-0.39
-24649,-47.315,-48.378,41.119,1,0.12,0,0,-0.38
-24785,-44.481,-49.596,42.447,1,0.13,0,0,-0.37
-24907,-41.685,-50.435,43.442,1,0.14,0,0,-0.36
-25003,-38.963,-50.555,43.806,1,0.15,0,0,-0.35
-25086,-36.384,-50.385,43.924,1,0.16,0,0,-0.34
-25141,-34.101,-49.616,43.535,1,0.17,0,0,-0.33
-25186,-32.007,-48.639,42.983,1,0.18,0,0,-0.32
-25206,-30.338,-47.191,42.067,1,0.19,0,0,-0.31
-25220,-28.865,-45.607,41.059,1,0.2,0,0,-0.3
-25215,-27.879,-43.681,39.825,1,0.21,0,0,-0.29
-25206,-27.07,-41.68,38.553,1,0.22,0,0,-0.28
-25185,-26.754,-39.468,37.173,1,0.23,0,0,-0.27
-25162,-26.585,-37.23,35.789,1,0.24,0,0,-0.26
-25132,-26.875,-34.91,34.389,1,0.25,0,0,-0.25
-25100,-27.276,-32.602,33.002,1,0.26,0,0,-0.24
-25066,-28.07,-30.332,31.659,1,0.27,0,0,-0.23
-25031,-28.941,-28.097,30.334,1,0.28,0,0,-0.22
-24995,-30.117,-26.004,29.078,1,0.29,0,0,-0.21
-24959,-31.339,-23.959,27.836,1,0.3,0,0,-0.2
-24924,-32.766,-22.134,26.659,1,0.31,0,0,-0.19
-24889,-34.212,-20.359,25.49,1,0.32,0,0,-0.18
-24855,-35.762,-18.85,24.357,1,0.33,0,0,-0.17
-24822,-37.313,-17.385,23.225,1,0.34,0,0,-0.16
-24790,-38.87,-16.199,22.089,1,0.35,0,0,-0.15
-24758,-40.417,-15.049,20.948,1,0.36,0,0,-0.14
-24729,-41.886,-14.161,19.762,1,0.37,0,0,-0.13
-24699,-43.339,-13.298,18.566,1,0.38,0,0,-0.12
-24671,-44.651,-12.661,17.289,1,0.39,0,0,-0.11
-24644,-45.946,-12.04,16.003,1,0.4,0,0,-0.1
-24619,-47.056,-11.598,14.611,1,0.41,0,0,-0.09
-24594,-48.151,-11.166,13.212,1,0.42,0,0,-0.08
-24573,-49.033,-10.871,11.699,1,0.43,0,0,-0.07
-24551,-49.904,-10.58,10.181,1,0.44,0,0,-0.06
-24534,-50.546,-10.391,8.5568,1,0.45,0,0,-0.05
-24517,-51.181,-10.204,6.93,1,0.46,0,0,-0.04
-24504,-51.575,-10.096,5.2247,1,0.47,0,0,-0.03
