"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.5443,0.50854,2.1872e-08,1.7124e-08,1,0.1925,0.1925,0,0
0.54355,0.50969,2.159e-08,1.6754e-08,1,0.195,0.195,0,0
0.54281,0.51083,2.1339e-08,1.6486e-08,1,0.1975,0.1975,0,0
0.54207,0.51195,2.1103e-08,1.6308e-08,1,0.2,0.2,0,0
0.54134,0.51305,2.0879e-08,1.6168e-08,1,0.2025,0.2025,0,0
0.5406,0.51414,2.0632e-08,1.6027e-08,1,0.205,0.205,0,0
0.53987,0.51522,2.0377e-08,1.5842e-08,1,0.2075,0.2075,0,0
0.53914,0.51628,2.0108e-08,1.5585e-08,1,0.21,0.21,0,0
0.53842,0.51732,1.9833e-08,1.5272e-08,1,0.2125,0.2125,0,0
0.53769,0.51836,1.9552e-08,1.4917e-08,1,0.215,0.215,0,0
0.53697,0.51937,1.9272e-08,1.4553e-08,1,0.2175,0.2175,0,0
0.53625,0.52038,1.8976e-08,1.4201e-08,1,0.22,0.22,0,0
0.53553,0.52136,1.8688e-08,1.3873e-08,1,0.2225,0.2225,0,0
0.53482,0.52234,1.8397e-08,1.3576e-08,1,0.225,0.225,0,0
0.53411,0.5233,1.8103e-08,1.3291e-08,1,0.2275,0.2275,0,0
0.53339,0.52425,1.7807e-08,1.3021e-08,1,0.23,0.23,0,0
0.53269,0.52518,1.7508e-08,1.2732e-08,1,0.2325,0.2325,0,0
0.53198,0.52611,1.7205e-08,1.2411e-08,1,0.235,0.235,0,0
0.53127,0.52702,1.6891e-08,1.2041e-08,1,0.2375,0.2375,0,0
0.53057,0.52791,1.656e-08,1.1591e-08,1,0.24,0.24,0,0
0.52987,0.5288,1.6215e-08,1.1058e-08,1,0.2425,0.2425,0,0
0.52917,0.52967,1.5855e-08,1.0464e-08,1,0.245,0.245,0,0
0.52847,0.53053,1.5505e-08,9.8238e-09,1,0.2475,0.2475,0,0
0.52778,0.53138,1.5193e-08,9.1903e-09,1,0.25,0.25,0,0
0.52708,0.53222,1.4958e-08,8.6217e-09,1,0.2525,0.2525,0,0
0.52639,0.53305,1.4823e-08,8.2043e-09,1,0.255,0.255,0,0
0.5257,0.53386,1.477e-08,7.9788e-09,1,0.2575,0.2575,0,0
0.52501,0.53466,1.4782e-08,7.9611e-09,1,0.26,0.26,0,0
0.52432,0.53546,1.4807e-08,8.097e-09,1,0.2625,0.2625,0,0
0.52364,0.53624,1.4809e-08,8.3061e-09,1,0.265,0.265,0,0
0.52295,0.53701,1.4751e-08,8.4796e-09,1,0.2675,0.2675,0,0
0.52227,0.53777,1.4649e-08,8.5407e-09,1,0.27,0.27,0,0
0.52159,0.53852,1.4484e-08,8.4277e-09,1,0.2725,0.2725,0,0
0.52091,0.53927,1.4162e-08,8.156e-09,1,0.275,0.275,0,0
0.52023,0.54,1.3705e-08,7.6824e-09,1,0.2775,0.2775,0,0
0.51955,0.54072,1.3252e-08,6.9941e-09,1,0.28,0.28,0,0
0.51888,0.54143,1.2902e-08,6.2203e-09,1,0.2825,0.2825,0,0
0.5182,0.54213,1.2702e-08,5.5278e-09,1,0.285,0.285,0,0
0.51753,0.54282,1.2625e-08,4.9674e-09,1,0.2875,0.2875,0,0
0.51686,0.54351,1.2669e-08,4.5189e-09,1,0.29,0.29,0,0
0.51619,0.54418,1.277e-08,4.1646e-09,1,0.2925,0.2925,0,0
0.51552,0.54485,1.2846e-08,3.8524e-09,1,0.295,0.295,0,0
0.51485,0.5455,1.2841e-08,3.497e-09,1,0.2975,0.2975,0,0
0.51419,0.54615,1.2751e-08,2.8311e-09,1,0.3,0.3,0,0
0.51352,0.54679,1.2841e-08,1.8491e-09,1,0.3025,0.3025,0,0
0.51286,0.54742,1.3185e-08,1.3456e-09,1,0.305,0.305,0,0
0.51219,0.54804,1.3254e-08,1.4147e-09,1,0.3075,0.3075,0,0
0.51153,0.54865,1.2828e-08,1.109e-09,1,0.31,0.31,0,0
0.51087,0.54926,1.241e-08,2.5738e-10,1,0.3125,0.3125,0,0
0.51021,0.54986,1.2246e-08,-1.1011e-09,1,0.315,0.315,0,0
0.50956,0.55045,1.2569e-08,-3.1467e-09,1,0.3175,0.3175,0,0
0.5089,0.55103,1.3985e-08,-5.7168e-09,1,0.32,0.32,0,0
0.50824,0.5516,1.7013e-08,-8.7366e-09,1,0.3225,0.3225,0,0
0.50759,0.55217,2.1945e-08,-1.2363e-08,1,0.325,0.325,0,0
0.50693,0.55273,2.8788e-08,-1.6776e-08,1,0.3275,0.3275,0,0
0.50628,0.55328,3.7196e-08,-2.1879e-08,1,0.33,0.33,0,0
0.50563,0.55382,4.6545e-08,-2.7151e-08,1,0.3325,0.3325,0,0
0.50498,0.55436,5.6022e-08,-3.1782e-08,1,0.335,0.335,0,0
0.50433,0.55489,6.4699e-08,-3.4998e-08,1,0.3375,0.3375,0,0
0.50368,0.55541,7.1594e-08,-3.6265e-08,1,0.34,0.34,0,0
0.50303,0.55593,7.5774e-08,-3.5334e-08,1,0.3425,0.3425,0,0
0.50238,0.55644,7.6508e-08,-3.2181e-08,1,0.345,0.345,0,0
0.50174,0.55694,7.3332e-08,-2.7022e-08,1,0.3475,0.3475,0,0
0.50109,0.55744,6.6088e-08,-2.0287e-08,1,0.35,0.35,0,0
0.50045,0.55793,5.5055e-08,-1.2579e-08,1,0.3525,0.3525,0,0
0.49981,0.55841,4.0825e-08,-4.565e-09,1,0.355,0.355,0,0
0.49916,0.55889,2.4368e-08,3.1752e-09,1,0.3575,0.3575,0,0
0.49852,0.55936,6.9754e-09,1.0128e-08,1,0.36,0.36,0,0
0.49788,0.55982,-1.0225e-08,1.6067e-08,1,0.3625,0.3625,0,0
0.49724,0.56028,-2.6094e-08,2.0748e-08,1,0.365,0.365,0,0
0.4966,0.56073,-3.9453e-08,2.335e-08,1,0.3675,0.3675,0,0
0.49596,0.56118,-4.9455e-08,2.3762e-08,1,0.37,0.37,0,0
0.49533,0.56162,-5.571e-08,2.2687e-08,1,0.3725,0.3725,0,0
0.49469,0.56206,-5.8273e-08,2.0731e-08,1,0.375,0.375,0,0
0.49405,0.56248,-5.7662e-08,1.8485e-08,1,0.3775,0.3775,0,0
0.49342,0.56291,-5.4599e-08,1.63e-08,1,0.38,0.38,0,0
0.49278,0.56333,-4.987e-08,1.4343e-08,1,0.3825,0.3825,0,0
0.49215,0.56374,-4.421e-08,1.2695e-08,1,0.385,0.385,0,0
0.49152,0.56415,-3.8176e-08,1.141e-08,1,0.3875,0.3875,0,0
0.49088,0.56455,-3.2168e-08,1.0488e-08,1,0.39,0.39,0,0
0.49025,0.56495,-2.6461e-08,9.8877e-09,1,0.3925,0.3925,0,0
0.48962,0.56534,-2.1226e-08,9.5285e-09,1,0.395,0.395,0,0
0.48899,0.56573,-1.6544e-08,9.3248e-09,1,0.3975,0.3975,0,0
0.48836,0.56611,-1.244e-08,9.1977e-09,1,0.4,0.4,0,0
0.48773,0.56649,-8.9027e-09,9.088e-09,1,0.4025,0.4025,0,0
0.4871,0.56686,-5.9036e-09,8.9534e-09,1,0.405,0.405,0,0
0.48648,0.56722,-3.4048e-09,8.7713e-09,1,0.4075,0.4075,0,0
0.48585,0.56759,-1.3537e-09,8.5415e-09,1,0.41,0.41,0,0
0.48522,0.56795,3.0345e-10,8.2631e-09,1,0.4125,0.4125,0,0
0.4846,0.5683,1.6159e-09,7.9494e-09,1,0.415,0.415,0,0
0.48397,0.56865,2.6331e-09,7.6037e-09,1,0.4175,0.4175,0,0
0.48335,0.56899,3.4056e-09,7.2305e-09,1,0.42,0.42,0,0
0.48273,0.56933,3.9803e-09,6.8257e-09,1,0.4225,0.4225,0,0
0.4821,0.56967,4.3946e-09,6.3889e-09,1,0.425,0.425,0,0
0.48148,0.57,4.6804e-09,5.9138e-09,1,0.4275,0.4275,0,0
0.48086,0.57033,4.8795e-09,5.3951e-09,1,0.43,0.43,0,0
0.48024,0.57065,5.0195e-09,4.856e-09,1,0.4325,0.4325,0,0
0.47962,0.57097,5.1351e-09,4.3429e-09,1,0.435,0.435,0,0
0.47899,0.57128,5.2549e-09,3.9329e-09,1,0.4375,0.4375,0,0
0.47837,0.57159,5.3976e-09,3.7045e-09,1,0.44,0.44,0,0
0.47776,0.5719,5.578e-09,3.7149e-09,1,0.4425,0.4425,0,0
0.47714,0.5722,5.7912e-09,3.958e-09,1,0.445,0.445,0,0
0.47652,0.5725,6.0172e-09,4.3724e-09,1,0.4475,0.4475,0,0
0.4759,0.5728,6.2317e-09,4.8453e-09,1,0.45,0.45,0,0
0.47528,0.57309,6.4163e-09,5.2686e-09,1,0.4525,0.4525,0,0
0.47467,0.57338,6.5571e-09,5.5597e-09,1,0.455,0.455,0,0
0.47405,0.57366,6.6551e-09,5.6846e-09,1,0.4575,0.4575,0,0
0.47344,0.57394,6.7158e-09,5.6513e-09,1,0.46,0.46,0,0
0.47282,0.57422,6.7454e-09,5.4905e-09,1,0.4625,0.4625,0,0
0.47221,0.57449,6.7494e-09,5.2411e-09,1,0.465,0.465,0,0
0.47159,0.57476,6.7384e-09,4.942e-09,1,0.4675,0.4675,0,0
0.47098,0.57503,6.7131e-09,4.6238e-09,1,0.47,0.47,0,0
0.47036,0.57529,6.6724e-09,4.3091e-09,1,0.4725,0.4725,0,0
0.46975,0.57555,6.6138e-09,4.007e-09,1,0.475,0.475,0,0
0.46914,0.57581,6.542e-09,3.7158e-09,1,0.4775,0.4775,0,0
0.46853,0.57606,6.4725e-09,3.4046e-09,1,0.48,0.48,0,0
0.46792,0.57631,6.4184e-09,3.0497e-09,1,0.4825,0.4825,0,0
0.4673,0.57656,6.3719e-09,2.6388e-09,1,0.485,0.485,0,0
0.46669,0.5768,6.3295e-09,2.1858e-09,1,0.4875,0.4875,0,0
0.46608,0.57704,6.2978e-09,1.7252e-09,1,0.49,0.49,0,0
0.46547,0.57728,6.29e-09,1.3139e-09,1,0.4925,0.4925,0,0
0.46486,0.57752,6.3207e-09,1.0343e-09,1,0.495,0.495,0,0
0.46425,0.57775,6.3917e-09,9.449e-10,1,0.4975,0.4975,0,0
0.46365,0.57798,6.4929e-09,1.0542e-09,1,0.5,0.5,0,0
0.46304,0.5782,6.6008e-09,1.3035e-09,1,0.5025,0.5025,0,0
0.46243,0.57843,6.6893e-09,1.5986e-09,1,0.505,0.505,0,0
0.46182,0.57865,6.7383e-09,1.8469e-09,1,0.5075,0.5075,0,0
0.46122,0.57887,6.7381e-09,1.9876e-09,1,0.51,0.51,0,0
0.46061,0.57908,6.6904e-09,1.9966e-09,1,0.5125,0.5125,0,0
0.46,0.57929,6.5996e-09,1.8895e-09,1,0.515,0.515,0,0
0.4594,0.5795,6.4717e-09,1.7025e-09,1,0.5175,0.5175,0,0
0.45879,0.57971,6.3149e-09,1.4691e-09,1,0.52,0.52,0,0
0.45818,0.57991,6.1308e-09,1.2286e-09,1,0.5225,0.5225,0,0
0.45758,0.58012,5.92e-09,1.0058e-09,1,0.525,0.525,0,0
0.45698,0.58032,5.6859e-09,8.0692e-10,1,0.5275,0.5275,0,0
0.45637,0.58051,5.4313e-09,6.2925e-10,1,0.53,0.53,0,0
0.45577,0.58071,5.1577e-09,4.6149e-10,1,0.5325,0.5325,0,0
0.45516,0.5809,4.8684e-09,2.7714e-10,1,0.535,0.535,0,0
0.45456,0.58109,4.5671e-09,4.8638e-11,1,0.5375,0.5375,0,0
0.45396,0.58128,4.2609e-09,-2.4414e-10,1,0.54,0.54,0,0
0.45335,0.58146,3.9589e-09,-5.9837e-10,1,0.5425,0.5425,0,0
0.45275,0.58164,3.6779e-09,-9.7802e-10,1,0.545,0.545,0,0
0.45215,0.58182,3.4397e-09,-1.3114e-09,1,0.5475,0.5475,0,0
0.45155,0.582,3.2636e-09,-1.5101e-09,1,0.55,0.55,0,0
0.45095,0.58218,3.163e-09,-1.5073e-09,1,0.5525,0.5525,0,0
0.45035,0.58235,3.1374e-09,-1.2895e-09,1,0.555,0.555,0,0
0.44975,0.58252,3.1752e-09,-9.0237e-10,1,0.5575,0.5575,0,0
0.44914,0.58269,3.257e-09,-4.3473e-10,1,0.56,0.56,0,0
0.44854,0.58286,3.3645e-09,1.4643e-11,1,0.5625,0.5625,0,0
0.44794,0.58302,3.4938e-09,3.8552e-10,1,0.565,0.565,0,0
0.44734,0.58319,3.7096e-09,7.0977e-10,1,0.5675,0.5675,0,0
0.44675,0.58335,3.9773e-09,9.4056e-10,1,0.57,0.57,0,0
0.44615,0.58351,4.2076e-09,1.0119e-09,1,0.5725,0.5725,0,0
0.44555,0.58366,4.4228e-09,9.942e-10,1,0.575,0.575,0,0
0.44495,0.58382,4.6297e-09,9.2921e-10,1,0.5775,0.5775,0,0
0.44435,0.58397,4.8173e-09,8.3077e-10,1,0.58,0.58,0,0
0.44375,0.58412,4.9694e-09,7.0906e-10,1,0.5825,0.5825,0,0
0.44315,0.58427,5.0721e-09,5.6424e-10,1,0.585,0.585,0,0
0.44256,0.58442,5.1156e-09,3.8945e-10,1,0.5875,0.5875,0,0
0.44196,0.58457,5.0952e-09,1.7784e-10,1,0.59,0.59,0,0
0.44136,0.58471,5.0095e-09,-7.4632e-11,1,0.5925,0.5925,0,0
0.44077,0.58485,4.8623e-09,-3.5417e-10,1,0.595,0.595,0,0
0.44017,0.58499,4.6681e-09,-6.3079e-10,1,0.5975,0.5975,0,0
0.43957,0.58513,4.442e-09,-8.5991e-10,1,0.6,0.6,0,0
0.43898,0.58527,4.2017e-09,-9.9659e-10,1,0.6025,0.6025,0,0
0.43838,0.5854,3.9635e-09,-1.0113e-09,1,0.605,0.605,0,0
0.43778,0.58554,3.7355e-09,-9.1367e-10,1,0.6075,0.6075,0,0
0.43719,0.58567,3.5175e-09,-7.4516e-10,1,0.61,0.61,0,0
0.43659,0.5858,3.3103e-09,-5.6202e-10,1,0.6125,0.6125,0,0
0.436,0.58593,3.1182e-09,-4.0761e-10,1,0.615,0.615,0,0
0.4354,0.58606,2.9465e-09,-3.0712e-10,1,0.6175,0.6175,0,0
0.43481,0.58618,2.8011e-09,-2.6926e-10,1,0.62,0.62,0,0
0.43422,0.58631,2.6867e-09,-2.8311e-10,1,0.6225,0.6225,0,0
0.43362,0.58643,2.6051e-09,-3.3331e-10,1,0.625,0.625,0,0
0.43303,0.58655,2.5571e-09,-4.0399e-10,1,0.6275,0.6275,0,0
0.43243,0.58667,2.5417e-09,-4.8374e-10,1,0.63,0.63,0,0
0.43184,0.58679,2.5597e-09,-5.6409e-10,1,0.6325,0.6325,0,0
0.43125,0.5869,2.6138e-09,-6.3681e-10,1,0.635,0.635,0,0
0.43065,0.58702,2.7104e-09,-6.9979e-10,1,0.6375,0.6375,0,0
0.43006,0.58713,2.8634e-09,-7.5323e-10,1,0.64,0.64,0,0
0.42947,0.58725,3.0825e-09,-8.019e-10,1,0.6425,0.6425,0,0
0.42888,0.58736,3.3602e-09,-8.5911e-10,1,0.645,0.645,0,0
0.42828,0.58747,3.6593e-09,-9.46e-10,1,0.6475,0.6475,0,0
0.42769,0.58758,3.9083e-09,-1.081e-09,1,0.65,0.65,0,0
0.4271,0.58768,4.0137e-09,-1.2693e-09,1,0.6525,0.6525,0,0
0.42651,0.58779,3.8899e-09,-1.4977e-09,1,0.655,0.655,0,0
0.42592,0.58789,3.502e-09,-1.7284e-09,1,0.6575,0.6575,0,0
0.42532,0.588,2.8917e-09,-1.9105e-09,1,0.66,0.66,0,0
0.42473,0.5881,2.1747e-09,-1.9919e-09,1,0.6625,0.6625,0,0
0.42414,0.5882,1.5039e-09,-1.94e-09,1,0.665,0.665,0,0
0.42355,0.5883,1.0197e-09,-1.7583e-09,1,0.6675,0.6675,0,0
0.42296,0.5884,7.9973e-10,-1.4855e-09,1,0.67,0.67,0,0
0.42237,0.58849,8.4423e-10,-1.1743e-09,1,0.6725,0.6725,0,0
0.42178,0.58859,1.0935e-09,-8.7639e-10,1,0.675,0.675,0,0
0.42119,0.58868,1.4543e-09,-6.288e-10,1,0.6775,0.6775,0,0
0.4206,0.58878,1.835e-09,-4.5313e-10,1,0.68,0.68,0,0
0.42001,0.58887,2.1685e-09,-3.5218e-10,1,0.6825,0.6825,0,0
0.41942,0.58896,2.4203e-09,-3.1817e-10,1,0.685,0.685,0,0
0.41883,0.58905,2.5819e-09,-3.3731e-10,1,0.6875,0.6875,0,0
0.41824,0.58914,2.6637e-09,-3.9412e-10,1,0.69,0.69,0,0
0.41765,0.58923,2.6843e-09,-4.7885e-10,1,0.6925,0.6925,0,0
0.41706,0.58931,2.6593e-09,-5.9324e-10,1,0.695,0.695,0,0
0.41647,0.5894,2.601e-09,-7.4684e-10,1,0.6975,0.6975,0,0
0.41588,0.58948,2.5201e-09,-9.5367e-10,1,0.7,0.7,0,0
0.4153,0.58957,2.4249e-09,-1.2218e-09,1,0.7025,0.7025,0,0
0.41471,0.58965,2.3229e-09,-1.5467e-09,1,0.705,0.705,0,0
0.41412,0.58973,2.2255e-09,-1.9034e-09,1,0.7075,0.7075,0,0
0.41353,0.58981,2.1445e-09,-2.2473e-09,1,0.71,0.71,0,0
0.41294,0.58989,2.0876e-09,-2.5168e-09,1,0.7125,0.7125,0,0
0.41235,0.58997,2.0593e-09,-2.6543e-09,1,0.715,0.715,0,0
0.41177,0.59005,2.0594e-09,-2.6238e-09,1,0.7175,0.7175,0,0
0.41118,0.59012,2.0836e-09,-2.4187e-09,1,0.72,0.72,0,0
0.41059,0.5902,2.1199e-09,-2.0677e-09,1,0.7225,0.7225,0,0
0.41,0.59027,2.1527e-09,-1.6285e-09,1,0.725,0.725,0,0
0.40942,0.59035,2.1682e-09,-1.171e-09,1,0.7275,0.7275,0,0
0.40883,0.59042,2.1568e-09,-7.572e-10,1,0.73,0.73,0,0
0.40824,0.59049,2.1168e-09,-4.3274e-10,1,0.7325,0.7325,0,0
0.40765,0.59057,2.0495e-09,-2.1682e-10,1,0.735,0.735,0,0
0.40707,0.59064,1.9586e-09,-1.0509e-10,1,0.7375,0.7375,0,0
0.40648,0.59071,1.8491e-09,-8.4876e-11,1,0.74,0.74,0,0
0.40589,0.59077,1.7241e-09,-1.4187e-10,1,0.7425,0.7425,0,0
0.40531,0.59084,1.5848e-09,-2.6339e-10,1,0.745,0.745,0,0
0.40472,0.59091,1.4347e-09,-4.4327e-10,1,0.7475,0.7475,0,0
0.40413,0.59098,1.2741e-09,-6.7636e-10,1,0.75,0.75,0,0
0.40355,0.59104,1.1064e-09,-9.5133e-10,1,0.7525,0.7525,0,0
0.40296,0.59111,9.4627e-10,-1.243e-09,1,0.755,0.755,0,0
0.40238,0.59117,8.1361e-10,-1.5049e-09,1,0.7575,0.7575,0,0
0.40179,0.59123,7.3603e-10,-1.6735e-09,1,0.76,0.76,0,0
0.4012,0.5913,7.5319e-10,-1.6802e-09,1,0.7625,0.7625,0,0
0.40062,0.59136,9.1568e-10,-1.474e-09,1,0.765,0.765,0,0
0.40003,0.59142,1.2739e-09,-1.0381e-09,1,0.7675,0.7675,0,0
0.39945,0.59148,1.84e-09,-4.0365e-10,1,0.77,0.77,0,0
0.39886,0.59154,2.5004e-09,3.1292e-10,1,0.7725,0.7725,0,0
0.39828,0.5916,2.8452e-09,8.2303e-10,1,0.775,0.775,0,0
0.39769,0.59165,2.0583e-09,5.9247e-10,1,0.7775,0.7775,0,0
0.39711,0.59171,-6.8958e-10,-9.7503e-10,1,0.78,0.78,0,0
0.39652,0.59177,-4.1388e-09,-3.2078e-09,1,0.7825,0.7825,0,0
0.39594,0.59182,-5.5769e-09,-4.4004e-09,1,0.785,0.785,0,0
0.39535,0.59188,-4.3898e-09,-4.0048e-09,1,0.7875,0.7875,0,0
0.39477,0.59193,-1.9119e-09,-2.6758e-09,1,0.79,0.79,0,0
0.39418,0.59199,6.8858e-10,-1.0408e-09,1,0.7925,0.7925,0,0
0.3936,0.59204,2.9583e-09,6.3348e-10,1,0.795,0.795,0,0
0.39301,0.59209,4.7702e-09,2.2352e-09,1,0.7975,0.7975,0,0
0.39243,0.59215,6.119e-09,3.7186e-09,1,0.8,0.8,0,0
0.39184,0.5922,7.0718e-09,5.0732e-09,1,0.8025,0.8025,0,0
0.39126,0.59225,7.7156e-09,6.2621e-09,1,0.805,0.805,0,0
0.39068,0.5923,8.1227e-09,7.2916e-09,1,0.8075,0.8075,0,0
