"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.52777,0.063877,1.1351e-05,-3.5818e-07,1,0.00025,0.25,-0.01225,0
0.52777,0.077063,1.8355e-05,-4.2922e-07,1,0.0005,0.25,-0.012,0
0.52777,0.090249,2.5358e-05,-5.0032e-07,1,0.00075,0.25,-0.01175,0
0.52777,0.10373,3.2812e-05,-5.7437e-07,1,0.001,0.25,-0.0115,0
0.52777,0.12445,5.1397e-05,-7.205e-07,1,0.00125,0.25,-0.01125,0
0.52777,0.14517,6.9983e-05,-8.6675e-07,1,0.0015,0.25,-0.011,0
0.52777,0.1659,8.8568e-05,-1.0131e-06,1,0.00175,0.25,-0.01075,0
0.52777,0.18662,0.00010715,-1.1596e-06,1,0.002,0.25,-0.0105,0
0.52777,0.20723,0.00012631,-1.3097e-06,1,0.00225,0.25,-0.01025,0
0.52777,0.22594,0.00015497,-1.5198e-06,1,0.0025,0.25,-0.01,0
0.52777,0.24466,0.00018363,-1.73e-06,1,0.00275,0.25,-0.00975,0
0.52777,0.26337,0.00021229,-1.9404e-06,1,0.003,0.25,-0.0095,0
0.52777,0.28208,0.00024095,-2.151e-06,1,0.00325,0.25,-0.00925,0
0.52777,0.30058,0.00026966,-2.3634e-06,1,0.0035,0.25,-0.009,0
0.52777,0.31564,0.00029911,-2.6032e-06,1,0.00375,0.25,-0.00875,0
0.52777,0.3307,0.00032857,-2.8431e-06,1,0.004,0.25,-0.0085,0
0.52777,0.34575,0.00035802,-3.0832e-06,1,0.00425,0.25,-0.00825,0
0.52777,0.36081,0.00038747,-3.3236e-06,1,0.0045,0.25,-0.008,0
0.52777,0.37583,0.00041685,-3.5636e-06,1,0.00475,0.25,-0.00775,0
0.52777,0.38725,0.00043868,-3.7543e-06,1,0.005,0.25,-0.0075,0
0.52777,0.39867,0.0004605,-3.9451e-06,1,0.00525,0.25,-0.00725,0
0.52777,0.41009,0.00048232,-4.1361e-06,1,0.0055,0.25,-0.007,0
0.52777,0.42151,0.00050415,-4.3273e-06,1,0.00575,0.25,-0.00675,0
0.52777,0.43293,0.00052597,-4.5187e-06,1,0.006,0.25,-0.0065,0
0.52777,0.44132,0.00053498,-4.5912e-06,1,0.00625,0.25,-0.00625,0
0.52777,0.44943,0.00054277,-4.6525e-06,1,0.0065,0.25,-0.006,0
0.52777,0.45754,0.00055057,-4.7141e-06,1,0.00675,0.25,-0.00575,0
0.52777,0.46564,0.00055836,-4.7758e-06,1,0.007,0.25,-0.0055,0
0.52777,0.47375,0.00056615,-4.8377e-06,1,0.00725,0.25,-0.00525,0
0.52777,0.47971,0.00056104,-4.7741e-06,1,0.0075,0.25,-0.005,0
0.52777,0.48506,0.00055228,-4.675e-06,1,0.00775,0.25,-0.00475,0
0.52777,0.49041,0.00054352,-4.5761e-06,1,0.008,0.25,-0.0045,0
0.52777,0.49576,0.00053476,-4.4773e-06,1,0.00825,0.25,-0.00425,0
0.52777,0.50111,0.00052601,-4.3785e-06,1,0.0085,0.25,-0.004,0
0.52777,0.50515,0.00050782,-4.1999e-06,1,0.00875,0.25,-0.00375,0
0.52777,0.50838,0.00048382,-3.9721e-06,1,0.009,0.25,-0.0035,0
0.52778,0.51161,0.00045981,-3.7443e-06,1,0.00925,0.25,-0.00325,0
0.52778,0.51485,0.0004358,-3.5167e-06,1,0.0095,0.25,-0.003,0
0.52778,0.51808,0.00041179,-3.2891e-06,1,0.00975,0.25,-0.00275,0
0.52778,0.52064,0.00038293,-3.0326e-06,1,0.01,0.25,-0.0025,0
0.52778,0.52232,0.0003477,-2.7381e-06,1,0.01025,0.25,-0.00225,0
0.52778,0.52401,0.00031247,-2.4438e-06,1,0.0105,0.25,-0.002,0
0.52778,0.52569,0.00027724,-2.1497e-06,1,0.01075,0.25,-0.00175,0
0.52778,0.52738,0.000242,-1.8559e-06,1,0.011,0.25,-0.0015,0
0.52778,0.5288,0.00020545,-1.5577e-06,1,0.01125,0.25,-0.00125,0
0.52778,0.52931,0.00016436,-1.2441e-06,1,0.0115,0.25,-0.001,0
0.52778,0.52983,0.00012328,-9.306e-07,1,0.01175,0.25,-0.00075,0
0.52778,0.53035,8.219e-05,-6.1716e-07,1,0.012,0.25,-0.0005,0
0.52778,0.53086,4.1102e-05,-3.0379e-07,1,0.01225,0.25,-0.00025,0
0.52778,0.53138,1.5192e-08,9.5122e-09,1,0.0125,0.25,0,0
0.52778,0.53087,-4.1075e-05,3.3021e-07,1,0.01275,0.25,0.00025,0
0.52778,0.53035,-8.2165e-05,6.5087e-07,1,0.013,0.25,0.0005,0
0.52778,0.52983,-0.00012326,9.715e-07,1,0.01325,0.25,0.00075,0
0.52778,0.52931,-0.00016435,1.2921e-06,1,0.0135,0.25,0.001,0
0.52778,0.5288,-0.00020544,1.6127e-06,1,0.01375,0.25,0.00125,0
0.52778,0.52738,-0.00024199,1.908e-06,1,0.014,0.25,0.0015,0
0.52778,0.52569,-0.00027722,2.1962e-06,1,0.01425,0.25,0.00175,0
0.52778,0.52401,-0.00031245,2.4848e-06,1,0.0145,0.25,0.002,0
0.52778,0.52233,-0.00034768,2.7738e-06,1,0.01475,0.25,0.00225,0
0.52778,0.52064,-0.00038291,3.063e-06,1,0.015,0.25,0.0025,0
0.52778,0.51808,-0.00041177,3.3148e-06,1,0.01525,0.25,0.00275,0
0.52778,0.51485,-0.00043578,3.5381e-06,1,0.0155,0.25,0.003,0
0.52778,0.51161,-0.00045979,3.7618e-06,1,0.01575,0.25,0.00325,0
0.52777,0.50838,-0.0004838,3.986e-06,1,0.016,0.25,0.0035,0
0.52777,0.50515,-0.0005078,4.2107e-06,1,0.01625,0.25,0.00375,0
