"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.056967,0.058252,2.5337e-08,-3.5879e-07,1,0.00025,2.25,-0.01225,0
0.056967,0.07044,3.6155e-08,-4.1033e-07,1,0.0005,2.25,-0.012,0
0.056967,0.082628,4.6972e-08,-4.6188e-07,1,0.00075,2.25,-0.01175,0
0.056967,0.0951,5.8093e-08,-5.1387e-07,1,0.001,2.25,-0.0115,0
0.056967,0.11462,7.6782e-08,-5.7706e-07,1,0.00125,2.25,-0.01125,0
0.056967,0.13414,9.547e-08,-6.4024e-07,1,0.0015,2.25,-0.011,0
0.056967,0.15366,1.1416e-07,-7.0342e-07,1,0.00175,2.25,-0.01075,0
0.056967,0.17318,1.3284e-07,-7.666e-07,1,0.002,2.25,-0.0105,0
0.056967,0.19264,1.5138e-07,-8.2781e-07,1,0.00225,2.25,-0.01025,0
0.056967,0.21115,1.6739e-07,-8.5609e-07,1,0.0025,2.25,-0.01,0
0.056967,0.22965,1.8339e-07,-8.8437e-07,1,0.00275,2.25,-0.00975,0
0.056967,0.24815,1.994e-07,-9.1264e-07,1,0.003,2.25,-0.0095,0
0.056967,0.26666,2.154e-07,-9.4092e-07,1,0.00325,2.25,-0.00925,0
0.056967,0.28502,2.308e-07,-9.6781e-07,1,0.0035,2.25,-0.009,0
0.056967,0.30113,2.3629e-07,-9.7214e-07,1,0.00375,2.25,-0.00875,0
0.056967,0.31724,2.4178e-07,-9.7647e-07,1,0.004,2.25,-0.0085,0
0.056967,0.33335,2.4726e-07,-9.808e-07,1,0.00425,2.25,-0.00825,0
0.056967,0.34946,2.5275e-07,-9.8513e-07,1,0.0045,2.25,-0.008,0
0.056967,0.36555,2.5814e-07,-9.8933e-07,1,0.00475,2.25,-0.00775,0
0.056967,0.37922,2.5316e-07,-9.7984e-07,1,0.005,2.25,-0.0075,0
0.056967,0.39288,2.4817e-07,-9.7034e-07,1,0.00525,2.25,-0.00725,0
0.056967,0.40655,2.4318e-07,-9.6085e-07,1,0.0055,2.25,-0.007,0
0.056967,0.42022,2.3819e-07,-9.5136e-07,1,0.00575,2.25,-0.00675,0
0.056967,0.43389,2.332e-07,-9.4186e-07,1,0.006,2.25,-0.0065,0
0.056967,0.44531,2.2267e-07,-9.2252e-07,1,0.00625,2.25,-0.00625,0
0.056967,0.45651,2.1162e-07,-9.0225e-07,1,0.0065,2.25,-0.006,0
0.056967,0.46771,2.0056e-07,-8.8197e-07,1,0.00675,2.25,-0.00575,0
0.056967,0.47892,1.8951e-07,-8.617e-07,1,0.007,2.25,-0.0055,0
0.056967,0.49012,1.7845e-07,-8.4142e-07,1,0.00725,2.25,-0.00525,0
0.056967,0.49939,1.655e-07,-8.148e-07,1,0.0075,2.25,-0.005,0
0.056967,0.50812,1.5202e-07,-7.8639e-07,1,0.00775,2.25,-0.00475,0
0.056967,0.51684,1.3854e-07,-7.5798e-07,1,0.008,2.25,-0.0045,0
0.056967,0.52556,1.2506e-07,-7.2957e-07,1,0.00825,2.25,-0.00425,0
0.056967,0.53429,1.1157e-07,-7.0116e-07,1,0.0085,2.25,-0.004,0
0.056967,0.54147,9.7902e-08,-6.6939e-07,1,0.00875,2.25,-0.00375,0
0.056967,0.54771,8.4113e-08,-6.3555e-07,1,0.009,2.25,-0.0035,0
0.056967,0.55395,7.0323e-08,-6.017e-07,1,0.00925,2.25,-0.00325,0
0.056967,0.56019,5.6533e-08,-5.6786e-07,1,0.0095,2.25,-0.003,0
0.056967,0.56642,4.2744e-08,-5.3401e-07,1,0.00975,2.25,-0.00275,0
0.056967,0.57158,2.925e-08,-4.9885e-07,1,0.01,2.25,-0.0025,0
0.056967,0.57533,1.6144e-08,-4.6195e-07,1,0.01025,2.25,-0.00225,0
0.056967,0.57907,3.0386e-09,-4.2505e-07,1,0.0105,2.25,-0.002,0
0.056967,0.58282,-1.0067e-08,-3.8816e-07,1,0.01075,2.25,-0.00175,0
0.056967,0.58656,-2.3173e-08,-3.5126e-07,1,0.011,2.25,-0.0015,0
0.056967,0.58975,-3.6069e-08,-3.1411e-07,1,0.01125,2.25,-0.00125,0
0.056967,0.59099,-4.8249e-08,-2.7607e-07,1,0.0115,2.25,-0.001,0
0.056967,0.59224,-6.0428e-08,-2.3804e-07,1,0.01175,2.25,-0.00075,0
0.056967,0.59349,-7.2608e-08,-2.0001e-07,1,0.012,2.25,-0.0005,0
0.056967,0.59474,-8.4787e-08,-1.6198e-07,1,0.01225,2.25,-0.00025,0
0.056967,0.59599,-9.6967e-08,-1.2394e-07,1,0.0125,2.25,0,0
0.056967,0.59474,-1.0804e-07,-8.5704e-08,1,0.01275,2.25,0.00025,0
0.056967,0.59349,-1.1912e-07,-4.7464e-08,1,0.013,2.25,0.0005,0
0.056967,0.59225,-1.3019e-07,-9.224e-09,1,0.01325,2.25,0.00075,0
