"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-17944,382.07,-80.713,-0.00089787,1,0.9,0,0.4,0
-16730,382.68,-75.346,-0.00082127,1,0.91,0,0.41,0
-15664,373.69,-67.849,-0.00071173,1,0.92,0,0.42,0
-14803,353.95,-58.498,-0.00058082,1,0.93,0,0.43,0
-14187,322.91,-47.779,-0.00044052,1,0.94,0,0.44,0
-13831,280.96,-36.386,-0.0003028,1,0.95,0,0.45,0
-13720,229.72,-25.19,-0.00017906,1,0.96,0,0.46,0
-13811,172.09,-15.155,-7.953e-05,1,0.97,0,0.47,0
-14046,112.01,-7.1998,-1.2804e-05,1,0.98,0,0.48,0
-14357,55.955,-2.26,1.4425e-05,1,0.99,0,0.49,0
-14593,19.777,-0.17442,1.6861e-05,1,1,0,0.5,0
