"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-20500,-0.085776,920.83,-0.00040003,1,0,-0.5,0,0
-20737,-1.7652,798.98,-0.00099876,1,0.01,-0.49,0,0
-21051,-5.4885,633.22,-0.0018508,1,0.02,-0.48,0,0
-21353,-10.766,491.48,-0.0026552,1,0.03,-0.47,0,0
-21649,-16.406,383.57,-0.0033445,1,0.04,-0.46,0,0
-21923,-21.758,305.09,-0.0038949,1,0.05,-0.45,0,0
-22178,-26.462,249.57,-0.0043001,1,0.06,-0.44,0,0
-22416,-30.412,210.8,-0.0045694,1,0.07,-0.43,0,0
-22644,-33.633,183.73,-0.0047218,1,0.08,-0.42,0,0
-22865,-36.218,164.57,-0.0047792,1,0.09,-0.41,0,0
-23083,-38.282,150.66,-0.0047629,1,0.1,-0.4,0,0
-23301,-39.932,140.17,-0.0046912,1,0.11,-0.39,0,0
-23520,-41.263,131.89,-0.0045787,1,0.12,-0.38,0,0
-23743,-42.35,125.06,-0.0044358,1,0.13,-0.37,0,0
-23969,-43.251,119.18,-0.0042703,1,0.14,-0.36,0,0
-24197,-44.009,113.95,-0.0040884,1,0.15,-0.35,0,0
-24429,-44.656,109.15,-0.0038946,1,0.16,-0.34,0,0
-24662,-45.214,104.69,-0.0036924,1,0.17,-0.33,0,0
-24897,-45.7,100.48,-0.0034844,1,0.18,-0.32,0,0
-25132,-46.126,96.465,-0.0032726,1,0.19,-0.31,0,0
-25366,-46.501,92.624,-0.0030587,1,0.2,-0.3,0,0
-25600,-46.832,88.931,-0.002844,1,0.21,-0.29,0,0
-25831,-47.122,85.366,-0.0026293,1,0.22,-0.28,0,0
-26060,-47.377,81.918,-0.0024151,1,0.23,-0.27,0,0
-26286,-47.598,78.572,-0.0022019,1,0.24,-0.26,0,0
-26507,-47.789,75.321,-0.0019905,1,0.25,-0.25,0,0
-26724,-47.951,72.153,-0.001781,1,0.26,-0.24,0,0
-26936,-48.085,69.06,-0.0015725,1,0.27,-0.23,0,0
-27143,-48.193,66.034,-0.0013626,1,0.28,-0.22,0,0
-27343,-48.275,63.068,-0.0011497,1,0.29,-0.21,0,0
-27536,-48.333,60.153,-0.00093295,1,0.3,-0.2,0,0
-27722,-48.367,57.283,-0.00071222,1,0.31,-0.19,0,0
-27901,-48.376,54.451,-0.00048741,1,0.32,-0.18,0,0
-28072,-48.362,51.65,-0.00025874,1,0.33,-0.17,0,0
-28234,-48.326,48.873,-2.6569e-05,1,0.34,-0.16,0,0
-28388,-48.266,46.115,0.00020881,1,0.35,-0.15,0,0
-28533,-48.183,43.367,0.00044714,1,0.36,-0.14,0,0
-28668,-48.077,40.623,0.00068818,1,0.37,-0.13,0,0
-28794,-47.949,37.877,0.00093153,1,0.38,-0.12,0,0
