"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
790.15,-8.822,0.21804,0.47689,1,0.97269,0.37,0.435,0
973.82,-12.531,2.7286,0.47094,1,0.98387,0.38,0.44,0
1167.2,-14.471,4.4907,0.4544,1,0.99505,0.39,0.445,0
1361.2,-15.146,5.6289,0.43066,1,1.0062,0.4,0.45,0
1550.2,-14.513,6.1284,0.39775,1,1.0174,0.41,0.455,0
1722.6,-13.053,6.0469,0.35939,1,1.0286,0.42,0.46,0
1874.8,-10.814,5.4753,0.31361,1,1.0398,0.43,0.465,0
1997,-8.2904,4.484,0.26463,1,1.051,0.44,0.47,0
2091,-5.635,3.3153,0.21079,1,1.0621,0.45,0.475,0
2149.3,-3.3044,2.0646,0.15716,1,1.0733,0.46,0.48,0
2178.1,-1.5102,1.077,0.10412,1,1.0845,0.47,0.485,0
2175.1,-0.44448,0.37573,0.057758,1,1.0957,0.48,0.49,0
2149.4,-0.051617,0.064179,0.025416,1,1.1069,0.49,0.495,0
2134.3,0.0093439,-0.0049866,0.0095154,1,1.118,0.5,0.5,0
